,x
214,0.407026564
215,0.428449015
216,0.402742074
217,0.40874036
218,0.427592117
219,0.401885176
220,0.418166238
221,0.428449015
222,0.42159383
223,0.410454156
224,0.433590403
225,0.407026564
226,0.409597258
227,0.454155955
228,0.416452442
229,0.444730077
230,0.447300771
231,0.436161097
232,0.448157669
233,0.493573265
234,0.490145673
235,0.491859469
236,0.550985433
237,0.504712939
238,0.412167952
239,0.431019709
240,0.393316195
241,0.380462725
242,0.396743787
243,0.386461011
244,0.386461011
245,0.411311054
246,0.398457584
247,0.383890317
248,0.412167952
249,0.396743787
250,0.273350471
251,0.269922879
252,0.623821765
253,1.245072836
254,1.583547558
255,1.058269066
256,0.748928877
257,0.580976864
258,0.457583548
259,0.35646958
260,0.330762639
261,0.310197087
262,0.296486718
263,0.305912596
264,0.293916024
265,0.272493573
266,0.311910883
267,0.28706084
268,0.269065981
269,0.296486718
270,0.285347044
271,0.263924593
272,0.286203942
273,0.299057412
274,0.273350471
275,0.294772922
276,0.3041988
277,0.292202228
278,0.294772922
279,0.294772922
280,0.280205656
281,0.3041988
282,0.300771208
283,0.29991431
284,0.315338475
285,0.302485004
286,0.299057412
287,0.321336761
288,0.344473008
289,0.330762639
290,0.353898886
291,0.365895458
292,0.361610968
293,0.388174807
294,0.395886889
295,0.378748929
296,0.384747215
297,0.389031705
298,0.36503856
299,0.372750643
300,0.383890317
301,0.36503856
302,0.368466153
303,0.395886889
304,0.374464439
305,0.355612682
306,0.373607541
307,0.372750643
308,0.387317909
309,0.398457584
310,0.411311054
311,0.432733505
312,0.435304199
313,0.333333333
314,0.330762639
315,0.329048843
316,0.309340189
317,0.316195373
318,0.327335047
319,0.303341902
320,0.317052271
321,0.329048843
322,0.30848329
323,0.319622965
324,0.327335047
325,0.311910883
326,0.316195373
327,0.325621251
328,0.306769494
329,0.321336761
330,0.325621251
331,0.306769494
332,0.305055698
333,0.323050557
334,0.297343616
335,0.293916024
336,0.315338475
337,0.296486718
338,0.29991431
339,0.306769494
340,0.29562982
341,0.293059126
342,0.3041988
343,0.294772922
344,0.289631534
345,0.305055698
346,0.281919452
347,0.279348757
348,0.296486718
349,0.28277635
350,0.28277635
351,0.298200514
352,0.279348757
353,0.272493573
354,0.284490146
355,0.270779777
356,0.267352185
357,0.272493573
358,0.251928021
359,0.244215938
360,0.252784919
361,0.240788346
362,0.22193659
363,0.228791774
364,0.214224507
365,0.193658955
366,0.209083119
367,0.187660668
368,0.171379606
369,0.179948586
370,0.159383033
371,0.135389889
372,0.149100257
373,0.119965724
374,0.120822622
375,0.12596401
376,0.093401885
377,0.095972579
378,0.114824336
379,0.1302485
380,0.11311054
381,0.095115681
382,-0.002570694
383,0.066838046
384,0.525278492
385,1.075407027
386,0.775492716
387,0.453299057
388,0.199657241
389,0.035132819
390,-0.077977721
391,-0.149100257
392,-0.208226221
393,-0.218508997
394,-0.232219366
395,-0.261353899
396,-0.257069409
397,-0.276778063
398,-0.307626392
399,-0.29562982
400,-0.307626392
401,-0.330762639
402,-0.321336761
403,-0.323050557
404,-0.335047129
405,-0.324764353
406,-0.329905741
407,-0.35218509
408,-0.340188518
409,-0.357326478
410,-0.389888603
411,-0.375321337
412,-0.386461011
413,-0.427592117
414,-0.41302485
415,-0.413881748
416,-0.431019709
417,-0.418166238
418,-0.414738646
419,-0.424164524
420,-0.418166238
421,-0.380462725
422,-0.399314482
423,-0.371893745
424,-0.362467866
425,-0.384747215
426,-0.371893745
427,-0.365895458
428,-0.40445587
429,-0.395029991
430,-0.402742074
431,-0.438731791
432,-0.447300771
433,-0.443873179
434,-0.479005998
435,-0.48243359
436,-0.47386461
437,-0.496143959
438,-0.488431877
439,-0.481576692
440,-0.509854327
441,-0.502999143
442,-0.497857755
443,-0.523564696
444,-0.51756641
445,-0.497000857
446,-0.52613539
447,-0.524421594
448,-0.497000857
449,-0.499571551
450,-0.519280206
451,-0.494430163
452,-0.497857755
453,-0.471293916
454,-0.455012853
455,-0.45672665
456,-0.428449015
457,-0.459297344
458,-0.549271637
459,-0.571550985
460,-0.529562982
461,-0.564695801
462,-0.570694087
463,-0.556126821
464,-0.583547558
465,-0.57412168
466,-0.560411311
467,-0.576692374
468,-0.581833762
469,-0.562982005
470,-0.58697515
471,-0.59125964
472,-0.580119966
473,-0.59125964
474,-0.597257926
475,-0.575835476
476,-0.594687232
477,-0.598971722
478,-0.571550985
479,-0.603256213
480,-0.606683805
481,-0.596401028
482,-0.620394173
483,-0.632390746
484,-0.628106255
485,-0.65638389
486,-0.66066838
487,-0.640102828
488,-0.680377035
489,-0.696658098
490,-0.685518423
491,-0.711225364
492,-0.721508141
493,-0.713796058
494,-0.742073693
495,-0.762639246
496,-0.76092545
497,-0.782347901
498,-0.810625536
499,-0.81319623
500,-0.842330763
501,-0.877463582
502,-0.880034276
503,-0.905741217
504,-0.924592973
505,-0.915167095
506,-0.94344473
507,-0.971722365
508,-0.961439589
509,-0.980291345
510,-1.001713796
511,-0.999143102
512,-1.023993145
513,-1.157669237
514,-1.137103685
515,-0.763496144
516,-0.167095116
517,-0.046272494
518,-0.510711225
519,-0.790059983
520,-0.931448158
521,-1.075407027
522,-1.176520994
523,-1.192802057
524,-1.203084833
525,-1.208226221
526,-1.190231362
527,-1.16966581
528,-1.215081405
529,-1.279348757
530,-1.293916024
531,-1.318766067
532,-1.298200514
533,-1.298200514
534,-1.305055698
535,-1.279348757
536,-1.268209083
537,-1.263924593
538,-1.224507284
539,-1.204798629
540,-1.209083119
541,-1.166238218
542,-1.151670951
543,-1.156812339
544,-1.119108826
545,-1.092544987
546,-1.089117395
547,-1.051413882
548,-1.013710368
549,-1.003427592
550,-0.946015424
551,-0.904884319
552,-0.8697515
553,-0.808054841
554,-0.770351328
555,-0.791773779
556,-0.747215081
557,-0.706083976
558,-0.702656384
559,-0.648671808
560,-0.619537275
561,-0.626392459
562,-0.590402742
563,-0.568980291
564,-0.542416452
565,-0.511568123
566,-0.45672665
567,-0.450728363
568,-0.414738646
569,-0.374464439
570,-0.35646958
571,-0.317909169
572,-0.289631534
573,-0.283633248
574,-0.236503856
575,-0.200514139
576,-0.185946872
577,-0.157669237
578,-0.119108826
579,-0.101970865
580,-0.074550129
581,-0.035132819
582,-0.023136247
